farm_id,farm_class,x_coord,y_coords
F1,small,6930.499446505659,41141.87964838765
F2,small,10172.996749392209,56233.76305666916
F3,small,40668.973059825985,28253.587576491656
F4,small,45505.89630492859,31554.524330779976
F5,small,15605.929055729126,38693.79976101218
F6,small,17899.626804451203,43852.8662838825
F7,small,25050.244217575248,20439.57213155125
F8,small,35205.60748901928,35152.00919035977
F9,small,15297.523926949149,39251.80447486623
F10,small,3553.9968403676867,30110.833527734536
F11,small,28008.53442636735,28306.458510476707
F12,small,8692.127061104655,32171.88190964124
F13,small,15364.09884947161,34906.55490180911
F14,small,32362.549397629333,7970.102583486313
F15,small,43207.10363602285,37192.34125023099
F16,small,36444.142711480956,3761.456077836494
F17,small,34778.97775060994,21187.02360909236
F18,small,26012.558376148005,8189.607321432899
F19,small,46542.881325353585,24768.26761654302
F20,small,28137.37030679181,7015.292889511095
F21,small,12628.72535400984,37939.461670619734
F22,small,41098.00460141183,24199.737901864886
F23,small,28721.068158959533,55091.216781498144
F24,small,34586.077104571275,51284.15485623016
F25,small,45216.5517406732,30988.864973877837
F26,small,19170.01139109167,28751.833388681578
F27,small,27425.793654295492,9194.26173688942
F28,small,19986.448483455202,28037.014497927088
F29,small,14964.258322677,45620.15333128601
F30,small,33962.18585144277,45868.6270422078
F31,small,12604.160758673124,57052.90472694884
F32,small,10557.393558746728,30500.588157751146
F33,small,24189.01938621671,30677.92718099009
F34,small,13831.596830274815,45396.78948945154
F35,small,38778.33692241007,6055.631681901074
F36,small,27717.32632877704,10430.410370083877
F37,small,29648.451380865514,51831.66391351174
F38,small,13603.453038850184,31177.249728789164
F39,small,34958.22819417218,10330.443458531076
F40,small,22312.13254021079,36221.74393910222
F41,small,3544.332844163195,37288.93953094396
F42,small,10420.87603149181,34964.00396721763
F43,small,6857.323116702139,49040.104589235154
F44,small,13044.434993571682,56070.19037038742
F45,small,18674.611348564973,53413.242187101045
F46,small,31339.32719941521,50110.85916220254
F47,small,39120.68853694615,22059.065205443454
F48,small,22074.088789175577,51590.94517640279
F49,small,31770.337499152094,23346.931612329576
F50,small,26827.97417536939,16893.101997820253
F51,small,31136.376985293035,19842.753579495184
F52,small,33908.18387952272,22276.358217768193
F53,small,23982.27058398015,34770.85667292043
F54,small,43994.677109021766,40326.645704797644
F55,small,10378.223250263622,34563.96063767214
F56,small,16739.53080266257,52830.67465281449
F57,small,43053.54048998196,26814.572792752908
F58,small,41954.69989425642,27087.50475543028
F59,small,28143.582499786065,19483.221308020995
F60,small,25422.39187436925,26751.880419661287
